         4931400 function calls (4927001 primitive calls) in 23.957 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       13    0.000    0.000    0.001    0.000 glunurbs.py:139(_callbackWithType)
       38    0.000    0.000    0.001    0.000 vertex_type_2_10_10_10_rev.py:12(_f)
      666    0.001    0.000    0.001    0.000 string.py:123(convert)
        8    0.000    0.000    0.001    0.000 wrapper.py:358(finalise)
        8    0.000    0.000    0.001    0.000 shader_subroutine.py:12(_f)
        1    0.000    0.000    0.001    0.001 vertex_attrib_binding.py:1(<module>)
        1    0.000    0.000    0.001    0.001 program_interface_query.py:45(<module>)
        1    0.001    0.001    0.001    0.001 __init__.py:3(<module>)
      116    0.000    0.000    0.001    0.000 baseplatform.py:121(wrapLogging)
       25    0.000    0.000    0.001    0.000 ntpath.py:585(abspath)
       45    0.000    0.000    0.001    0.000 GL_4_3.py:12(_f)
        1    0.001    0.001    0.001    0.001 texture_buffer_object.py:41(<module>)
        1    0.001    0.001    0.001    0.001 arrayprint.py:5(<module>)
       84    0.000    0.000    0.001    0.000 GL_3_0.py:12(_f)
1837/1697    0.001    0.000    0.001    0.000 {built-in method setattr}
        1    0.001    0.001    0.001    0.001 compat.py:21(get_BytesIO)
        1    0.001    0.001    0.001    0.001 geometry_shader4.py:39(<module>)
       13    0.000    0.000    0.001    0.000 baseplatform.py:279(copyBaseFunction)
        1    0.001    0.001    0.001    0.001 __init__.py:10(<module>)
        1    0.001    0.001    0.001    0.001 invalidate_subdata.py:1(<module>)
        6    0.000    0.000    0.001    0.000 images.py:602(compressedImageFunction)
        1    0.000    0.000    0.001    0.001 tess.py:167(<listcomp>)
     2967    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x000000001E2838A0}
        1    0.000    0.000    0.001    0.001 GL_1_4.py:1(<module>)
       20    0.000    0.000    0.001    0.000 framebuffer_object.py:12(_f)
     1424    0.001    0.000    0.001    0.000 __init__.py:37(types)
        1    0.001    0.001    0.001    0.001 clear_buffer_object.py:24(<module>)
        1    0.000    0.000    0.001    0.001 vertex_shader.py:1(<module>)
     5184    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
        6    0.000    0.000    0.001    0.000 pkg_resources.py:1381(has_metadata)
        1    0.001    0.001    0.001    0.001 ES3_compatibility.py:18(<module>)
      917    0.000    0.000    0.001    0.000 sre_parse.py:203(match)
       44    0.000    0.000    0.001    0.000 ntpath.py:273(split)
       34    0.000    0.000    0.001    0.000 ntpath.py:314(dirname)
        1    0.001    0.001    0.001    0.001 timer_query.py:32(<module>)
        1    0.000    0.000    0.001    0.001 zipfile.py:500(ZipExtFile)
        3    0.000    0.000    0.001    0.000 warnings.py:31(filterwarnings)
       34    0.000    0.000    0.001    0.000 imaging.py:12(_f)
        1    0.001    0.001    0.001    0.001 shader_precision.py:18(<module>)
       30    0.000    0.000    0.001    0.000 GL_1_1.py:13(_f)
       20    0.000    0.000    0.001    0.000 pkg_resources.py:2275(from_location)
       25    0.000    0.000    0.001    0.000 ntpath.py:529(normpath)
        1    0.000    0.000    0.001    0.001 pkg_resources.py:1549(MemoizedZipManifests)
